probe,gene,region,promoter
cgSYN000001,CDKN2A,Body,False
cgSYN000002,CDKN2A,5'UTR,True
cgSYN000003,CDKN2A,Body,False
cgSYN000004,CDKN2A,Body,False
cgSYN000005,CDKN2A,Body,False
cgSYN000006,CDKN2A,1stExon,True
cgSYN000007,CDKN2A,Body,False
cgSYN000008,CDKN2A,Body,False
cgSYN000009,CDKN2A,TSS200,True
cgSYN000010,CDKN2A,TSS1500,True
cgSYN000011,CDKN2A,TSS1500,True
cgSYN000012,CDKN2A,TSS1500,True
cgSYN000013,CDKN2A,TSS200,True
cgSYN000014,CDKN2A,Body,False
cgSYN000015,CDKN2A,TSS1500,True
cgSYN000016,CDKN2A,Body,False
cgSYN000017,CDKN2A,Body,False
cgSYN000018,CDKN2A,Body,False
cgSYN000019,CDKN2A,TSS1500,True
cgSYN000020,CDKN2A,5'UTR,True
cgSYN000021,CDKN2A,TSS200,True
cgSYN000022,CDKN2A,Body,False
cgSYN000023,CDKN2B,TSS200,True
cgSYN000024,CDKN2B,TSS200,True
cgSYN000025,CDKN2B,Body,False
cgSYN000026,CDKN2B,1stExon,True
cgSYN000027,CDKN2B,Body,False
cgSYN000028,CDKN2B,Body,False
cgSYN000029,CDKN2B,1stExon,True
cgSYN000030,CDKN2B,Body,False
cgSYN000031,CDKN2B,5'UTR,True
cgSYN000032,CDKN2B,TSS200,True
cgSYN000033,CDKN2B,TSS1500,True
cgSYN000034,CDKN2B,5'UTR,True
cgSYN000035,CDH1,5'UTR,True
cgSYN000036,CDH1,5'UTR,True
cgSYN000037,CDH1,TSS1500,True
cgSYN000038,CDH1,1stExon,True
cgSYN000039,CDH1,TSS200,True
cgSYN000040,CDH1,Body,False
cgSYN000041,CDH1,TSS200,True
cgSYN000042,CDH1,Body,False
cgSYN000043,CDH1,1stExon,True
cgSYN000044,CDH1,TSS200,True
cgSYN000045,CDH1,TSS200,True
cgSYN000046,CDH1,TSS1500,True
cgSYN000047,MGMT,TSS1500,True
cgSYN000048,MGMT,TSS200,True
cgSYN000049,MGMT,TSS200,True
cgSYN000050,MGMT,5'UTR,True
cgSYN000051,MGMT,TSS200,True
cgSYN000052,MGMT,Body,False
cgSYN000053,MGMT,TSS1500,True
cgSYN000054,MGMT,5'UTR,True
cgSYN000055,MGMT,TSS200,True
cgSYN000056,MGMT,Body,False
cgSYN000057,MGMT,Body,False
cgSYN000058,MGMT,Body,False
cgSYN000059,PAX1,5'UTR,True
cgSYN000060,PAX1,TSS1500,True
cgSYN000061,PAX1,Body,False
cgSYN000062,PAX1,5'UTR,True
cgSYN000063,PAX1,5'UTR,True
cgSYN000064,PAX1,TSS200,True
cgSYN000065,PAX1,5'UTR,True
cgSYN000066,PAX1,TSS200,True
cgSYN000067,PAX1,TSS200,True
cgSYN000068,PAX1,Body,False
cgSYN000069,PAX1,Body,False
cgSYN000070,PAX1,Body,False
cgSYN000071,ZNF583,Body,False
cgSYN000072,ZNF583,5'UTR,True
cgSYN000073,ZNF583,TSS1500,True
cgSYN000074,ZNF583,TSS200,True
cgSYN000075,ZNF583,Body,False
cgSYN000076,ZNF583,TSS1500,True
cgSYN000077,ZNF583,Body,False
cgSYN000078,ZNF583,TSS1500,True
cgSYN000079,ZNF583,TSS200,True
cgSYN000080,ZNF583,Body,False
cgSYN000081,ZNF583,Body,False
cgSYN000082,ZNF583,TSS1500,True
cgSYN000083,ATG5,Body,False
cgSYN000084,ATG5,TSS1500,True
cgSYN000085,ATG5,Body,False
cgSYN000086,ATG5,Body,False
cgSYN000087,ATG5,Body,False
cgSYN000088,ATG5,Body,False
cgSYN000089,ATG5,Body,False
cgSYN000090,ATG5,TSS200,True
cgSYN000091,ATG5,TSS1500,True
cgSYN000092,ATG5,TSS1500,True
cgSYN000093,ATG5,5'UTR,True
cgSYN000094,ATG5,TSS200,True
cgSYN000095,MAP1LC3A,5'UTR,True
cgSYN000096,MAP1LC3A,Body,False
cgSYN000097,MAP1LC3A,Body,False
cgSYN000098,MAP1LC3A,1stExon,True
cgSYN000099,MAP1LC3A,Body,False
cgSYN000100,MAP1LC3A,5'UTR,True
cgSYN000101,MAP1LC3A,TSS200,True
cgSYN000102,MAP1LC3A,TSS1500,True
cgSYN000103,MAP1LC3A,Body,False
cgSYN000104,MAP1LC3A,Body,False
cgSYN000105,MAP1LC3A,TSS1500,True
cgSYN000106,MAP1LC3A,5'UTR,True
cgSYN000107,DAPK1,5'UTR,True
cgSYN000108,DAPK1,Body,False
cgSYN000109,DAPK1,TSS1500,True
cgSYN000110,DAPK1,Body,False
cgSYN000111,DAPK1,TSS1500,True
cgSYN000112,DAPK1,Body,False
cgSYN000113,DAPK1,Body,False
cgSYN000114,DAPK1,TSS200,True
cgSYN000115,DAPK1,TSS200,True
cgSYN000116,DAPK1,TSS1500,True
cgSYN000117,DAPK1,Body,False
cgSYN000118,DAPK1,TSS200,True
cgSYN000119,TP63,TSS1500,True
cgSYN000120,TP63,Body,False
cgSYN000121,TP63,Body,False
cgSYN000122,TP63,5'UTR,True
cgSYN000123,TP63,TSS1500,True
cgSYN000124,TP63,Body,False
cgSYN000125,TP63,TSS1500,True
cgSYN000126,TP63,TSS1500,True
cgSYN000127,TP63,TSS200,True
cgSYN000128,TP63,TSS200,True
cgSYN000129,TP63,Body,False
cgSYN000130,TP63,TSS1500,True
cgSYN000131,TFPI2,1stExon,True
cgSYN000132,TFPI2,Body,False
cgSYN000133,TFPI2,TSS1500,True
cgSYN000134,TFPI2,Body,False
cgSYN000135,TFPI2,Body,False
cgSYN000136,TFPI2,TSS200,True
cgSYN000137,TFPI2,Body,False
cgSYN000138,TFPI2,1stExon,True
cgSYN000139,TFPI2,Body,False
cgSYN000140,TFPI2,1stExon,True
cgSYN000141,TFPI2,TSS1500,True
cgSYN000142,TFPI2,1stExon,True
cgSYN000143,SOX17,5'UTR,True
cgSYN000144,SOX17,1stExon,True
cgSYN000145,SOX17,Body,False
cgSYN000146,SOX17,Body,False
cgSYN000147,SOX17,Body,False
cgSYN000148,SOX17,5'UTR,True
cgSYN000149,SOX17,1stExon,True
cgSYN000150,SOX17,Body,False
cgSYN000151,SOX17,TSS200,True
cgSYN000152,SOX17,Body,False
cgSYN000153,SOX17,Body,False
cgSYN000154,SOX17,Body,False
cgSYN000155,GATA4,Body,False
cgSYN000156,GATA4,Body,False
cgSYN000157,GATA4,TSS200,True
cgSYN000158,GATA4,Body,False
cgSYN000159,GATA4,5'UTR,True
cgSYN000160,GATA4,Body,False
cgSYN000161,GATA4,Body,False
cgSYN000162,GATA4,TSS1500,True
cgSYN000163,GATA4,TSS1500,True
cgSYN000164,GATA4,TSS1500,True
cgSYN000165,GATA4,TSS200,True
cgSYN000166,GATA4,5'UTR,True
cgSYN000167,EGFR,TSS1500,True
cgSYN000168,EGFR,Body,False
cgSYN000169,EGFR,Body,False
cgSYN000170,EGFR,Body,False
cgSYN000171,EGFR,5'UTR,True
cgSYN000172,EGFR,Body,False
cgSYN000173,EGFR,TSS1500,True
cgSYN000174,EGFR,TSS200,True
cgSYN000175,EGFR,TSS1500,True
cgSYN000176,EGFR,TSS200,True
cgSYN000177,EGFR,TSS1500,True
cgSYN000178,EGFR,TSS200,True
cgSYN000179,PTK6,TSS1500,True
cgSYN000180,PTK6,TSS1500,True
cgSYN000181,PTK6,TSS1500,True
cgSYN000182,PTK6,Body,False
cgSYN000183,PTK6,Body,False
cgSYN000184,PTK6,Body,False
cgSYN000185,PTK6,1stExon,True
cgSYN000186,PTK6,Body,False
cgSYN000187,PTK6,TSS200,True
cgSYN000188,PTK6,TSS1500,True
cgSYN000189,PTK6,Body,False
cgSYN000190,PTK6,TSS1500,True
cgSYN000191,AIM2,TSS200,True
cgSYN000192,AIM2,5'UTR,True
cgSYN000193,AIM2,5'UTR,True
cgSYN000194,AIM2,1stExon,True
cgSYN000195,AIM2,Body,False
cgSYN000196,AIM2,TSS1500,True
cgSYN000197,AIM2,TSS200,True
cgSYN000198,AIM2,Body,False
cgSYN000199,AIM2,Body,False
cgSYN000200,AIM2,1stExon,True
cgSYN000201,AIM2,Body,False
cgSYN000202,AIM2,TSS1500,True
cgSYN000203,CCNA1,5'UTR,True
cgSYN000204,CCNA1,Body,False
cgSYN000205,CCNA1,Body,False
cgSYN000206,CCNA1,Body,False
cgSYN000207,CCNA1,Body,False
cgSYN000208,CCNA1,TSS1500,True
cgSYN000209,CCNA1,Body,False
cgSYN000210,CCNA1,Body,False
cgSYN000211,CCNA1,1stExon,True
cgSYN000212,CCNA1,Body,False
cgSYN000213,CCNA1,TSS1500,True
cgSYN000214,CCNA1,TSS1500,True
cgSYN000215,CCNA2,TSS200,True
cgSYN000216,CCNA2,5'UTR,True
cgSYN000217,CCNA2,Body,False
cgSYN000218,CCNA2,Body,False
cgSYN000219,CCNA2,Body,False
cgSYN000220,CCNA2,Body,False
cgSYN000221,CCNA2,Body,False
cgSYN000222,CCNA2,Body,False
cgSYN000223,CCNA2,TSS200,True
cgSYN000224,CCNA2,TSS1500,True
cgSYN000225,CCNA2,5'UTR,True
cgSYN000226,CCNA2,TSS200,True
cgSYN000227,CCNB1,Body,False
cgSYN000228,CCNB1,1stExon,True
cgSYN000229,CCNB1,TSS1500,True
cgSYN000230,CCNB1,TSS1500,True
cgSYN000231,CCNB1,TSS200,True
cgSYN000232,CCNB1,Body,False
cgSYN000233,CCNB1,Body,False
cgSYN000234,CCNB1,Body,False
cgSYN000235,CCNB1,Body,False
cgSYN000236,CCNB1,TSS1500,True
cgSYN000237,CCNB1,TSS1500,True
cgSYN000238,CCNB1,Body,False
cgSYN000239,CCNB2,Body,False
cgSYN000240,CCNB2,1stExon,True
cgSYN000241,CCNB2,TSS200,True
cgSYN000242,CCNB2,TSS200,True
cgSYN000243,CCNB2,TSS200,True
cgSYN000244,CCNB2,TSS200,True
cgSYN000245,CCNB2,TSS1500,True
