Probe,Gene,Region,promoter
cgSYNC00001,UBD,1stExon,True
cgSYNC00002,UBD,Body,True
cgSYNC00003,UBD,Body,True
cgSYNC00004,UBD,TSS200,True
cgSYNC00005,UBD,3'UTR,True
cgSYNC00006,UBD,Body,True
cgSYNC00007,UBD,TSS1500,True
cgSYNC00008,UBD,Body,True
cgSYNC00009,UBD,1stExon,True
cgSYNC00010,UBD,TSS1500,True
cgSYNC00011,UBD,Body,True
cgSYNC00012,UBD,TSS1500,True
cgSYNC00013,UBD,TSS200,True
cgSYNC00014,CXCL9,Body,True
cgSYNC00015,CXCL10,Body,True
cgSYNC00016,CXCL10,TSS1500,True
cgSYNC00017,CXCL10,5'UTR,True
cgSYNC00018,CXCL10,TSS1500,True
cgSYNC00019,CXCL10,5'UTR,True
cgSYNC00020,CXCL10,Body,True
cgSYNC00021,CXCL10,Body,False
cgSYNC00022,CXCL10,TSS1500,True
cgSYNC00023,CXCL10,TSS200,True
cgSYNC00024,CXCL10,5'UTR,True
cgSYNC00025,CXCL10,Body,False
cgSYNC00026,CXCL10,TSS200,True
cgSYNC00027,CXCL10,1stExon,True
cgSYNC00028,CXCL10,1stExon,True
cgSYNC00029,CXCL11,TSS200,True
cgSYNC00030,CXCL11,Body,False
cgSYNC00031,CXCL11,Body,False
cgSYNC00032,CXCL11,Body,False
cgSYNC00033,CXCL11,Body,False
cgSYNC00034,CXCL11,Body,False
cgSYNC00035,CXCL11,3'UTR,False
cgSYNC00036,CXCL11,1stExon,True
cgSYNC00037,CXCL11,Body,False
cgSYNC00038,CXCL11,5'UTR,True
cgSYNC00039,CXCL11,1stExon,True
cgSYNC00040,CXCL11,3'UTR,False
cgSYNC00041,CXCL11,TSS200,True
cgSYNC00042,CXCL11,Body,False
cgSYNC00043,IFI6,1stExon,True
cgSYNC00044,IFI6,Body,False
cgSYNC00045,IFI6,Body,False
cgSYNC00046,IFI6,Body,False
cgSYNC00047,IFI6,TSS1500,True
cgSYNC00048,IFI6,TSS1500,True
cgSYNC00049,IFI6,Body,False
cgSYNC00050,IFI6,Body,False
cgSYNC00051,IFI6,1stExon,True
cgSYNC00052,IFI6,Body,False
cgSYNC00053,IFI6,Body,False
cgSYNC00054,IFI6,TSS1500,True
cgSYNC00055,IFI6,Body,False
cgSYNC00056,IFI6,5'UTR,True
cgSYNC00057,WARS1,TSS1500,True
cgSYNC00058,WARS1,Body,False
cgSYNC00059,WARS1,Body,False
cgSYNC00060,WARS1,TSS1500,True
cgSYNC00061,WARS1,Body,False
cgSYNC00062,WARS1,1stExon,True
cgSYNC00063,WARS1,TSS1500,True
cgSYNC00064,WARS1,3'UTR,False
cgSYNC00065,WARS1,TSS1500,True
cgSYNC00066,WARS1,TSS200,True
cgSYNC00067,WARS1,1stExon,True
cgSYNC00068,WARS1,Body,False
cgSYNC00069,WARS1,Body,False
cgSYNC00070,WARS1,TSS200,True
cgSYNC00071,GBP5,3'UTR,False
cgSYNC00072,GBP5,Body,False
cgSYNC00073,GBP5,5'UTR,True
cgSYNC00074,GBP5,1stExon,True
cgSYNC00075,GBP5,TSS1500,True
cgSYNC00076,GBP5,5'UTR,True
cgSYNC00077,GBP5,TSS1500,True
cgSYNC00078,GBP5,Body,False
cgSYNC00079,GBP5,5'UTR,True
cgSYNC00080,GBP5,Body,False
cgSYNC00081,GBP5,TSS200,True
cgSYNC00082,GBP5,TSS1500,True
cgSYNC00083,GBP5,TSS1500,True
cgSYNC00084,GBP5,Body,False
cgSYNC00085,CD74,5'UTR,True
cgSYNC00086,CD74,Body,False
cgSYNC00087,CD74,TSS200,True
cgSYNC00088,CD74,Body,False
cgSYNC00089,CD74,5'UTR,True
cgSYNC00090,CD74,TSS200,True
