Probe,Gene,Region,promoter
cgSYNK00001,CDKN2A,5'UTR,True
cgSYNK00002,CDKN2A,Body,False
cgSYNK00003,CDKN2A,TSS1500,True
cgSYNK00004,CDKN2A,TSS1500,True
cgSYNK00005,CDKN2A,Body,False
cgSYNK00006,CDKN2A,TSS200,True
cgSYNK00007,CDKN2A,TSS1500,True
cgSYNK00008,CDKN2A,Body,False
cgSYNK00009,CDKN2A,TSS200,True
cgSYNK00010,CDKN2A,Body,False
cgSYNK00011,CDKN2A,TSS200,True
cgSYNK00012,CDKN2A,Body,False
cgSYNK00013,CDKN2A,TSS1500,True
cgSYNK00014,CDKN2A,5'UTR,True
cgSYNK00015,CDKN2A,1stExon,True
cgSYNK00016,CDKN2A,TSS200,True
cgSYNK00017,CDKN2A,5'UTR,True
cgSYNK00018,CDKN2A,TSS1500,True
cgSYNK00019,CDKN2B,TSS200,True
cgSYNK00020,CDKN2B,TSS1500,True
cgSYNK00021,CDKN2B,5'UTR,True
cgSYNK00022,CDKN2B,Body,False
cgSYNK00023,CDKN2B,Body,False
cgSYNK00024,CDKN2B,TSS200,True
cgSYNK00025,CDKN2B,TSS200,True
cgSYNK00026,CDKN2B,Body,False
cgSYNK00027,CDKN2B,Body,False
cgSYNK00028,CDKN2B,TSS1500,True
cgSYNK00029,CDKN2B,TSS1500,True
cgSYNK00030,CDKN2B,Body,False
cgSYNK00031,CDKN2B,1stExon,True
cgSYNK00032,CDKN2B,Body,False
cgSYNK00033,CDKN2B,Body,False
cgSYNK00034,CDKN2B,Body,False
cgSYNK00035,CDKN2B,TSS1500,True
cgSYNK00036,CDKN2B,3'UTR,False
cgSYNK00037,CDH1,Body,False
cgSYNK00038,CDH1,5'UTR,True
cgSYNK00039,CDH1,Body,False
cgSYNK00040,CDH1,TSS200,True
cgSYNK00041,CDH1,3'UTR,False
cgSYNK00042,CDH1,TSS1500,True
cgSYNK00043,CDH1,TSS1500,True
cgSYNK00044,CDH1,TSS1500,True
cgSYNK00045,CDH1,Body,False
cgSYNK00046,CDH1,Body,False
cgSYNK00047,CDH1,Body,False
cgSYNK00048,CDH1,TSS1500,True
cgSYNK00049,CDH1,1stExon,True
cgSYNK00050,CDH1,TSS200,True
cgSYNK00051,CDH1,5'UTR,True
cgSYNK00052,CDH1,TSS200,True
cgSYNK00053,CDH1,Body,False
