Probe,SYN-REF2-01,SYN-REF2-02,SYN-REF2-03,SYN-REF2-04,SYN-REF2-05,SYN-REF2-06,SYN-REF2-07,SYN-REF2-08,SYN-REF2-09,SYN-REF2-10,SYN-REF2-11,SYN-REF2-12,SYN-REF2-13,SYN-REF2-14,SYN-REF2-15,SYN-REF2-16,SYN-REF2-17,SYN-REF2-18,SYN-REF2-19,SYN-REF2-20,SYN-REF2-21,SYN-REF2-22,SYN-REF2-23,SYN-REF2-24,SYN-REF2-25,SYN-REF2-26,SYN-REF2-27,SYN-REF2-28
cgSYNK00001,0.2373617245728078,0.3355713010412586,0.25718892045543407,0.10499025357296736,0.16139306356609523,0.37318848060106724,0.30992787121114534,0.1994287306255712,0.22552252638319625,0.25462036389118214,0.2529168366049376,0.30494523382499955,0.13375591391385844,0.15686264085894264,0.2880523886644655,0.3108786802305611,0.2368303619549732,0.2567786894590108,0.27757459727016487,0.229711075235838,0.3000904969253109,0.2789406708556907,0.2690794660711529,0.2244216066499441,0.340549240261961,0.34339804897183535,0.33313065847778084,0.4049742676177367
cgSYNK00002,0.7963371816818173,0.6736998960834703,0.8153940519156813,0.7981219419748193,0.7835789111481348,0.6677703039455213,0.8056366760648601,0.7996817069816307,0.6457882594966732,0.7975423194724593,0.7770624040777963,0.6622534260514544,0.7094695134609125,0.7339323957057747,0.7827452171338598,0.7561940636276676,0.7798957168203675,0.7934770888838473,0.7179198395378455,0.7406093095136278,0.7279101023628798,0.690400416498726,0.7812601823303454,0.8455323057933661,0.7748409587120512,0.7968952755181565,0.9393819772792172,0.7511875512932973
cgSYNK00003,0.043210777018448776,0.06287652778285985,0.1277760977776925,0.034613103439412346,0.005,0.01346502028394457,0.021951086961884136,0.013822954140744345,0.047057461350475116,0.05856441373559618,0.025638883775843974,0.12980295309533482,0.005,0.058640403642593125,0.010223634711871668,0.07001704952386395,0.005,0.06514767736776425,0.0365504696153717,0.005,0.005,0.10082279241361794,0.005,0.005,0.01914779401363345,0.1434008702521167,0.06569871471355167,0.1217960541251426
cgSYNK00004,0.2803867706193278,0.24777084101235794,0.29194789561690004,0.24670937018179936,0.3077934083495404,0.18689529293268456,0.16753719108982704,0.2063538388592834,0.16409122511060012,0.2919055667205116,0.14992385434385982,0.25415313979837917,0.2665981177032769,0.20512924252919054,0.20941242968902615,0.28106400107269625,0.28957656945488164,0.2973663092955625,0.16789421381351002,0.17994157574811406,0.1731355546454654,0.21000697813687327,0.19466012252785733,0.24827628069179028,0.22044360235867452,0.4007184460404085,0.3563908810544426,0.434625933558775
cgSYNK00005,0.6583894233899057,0.8269638316424981,0.7816728114638396,0.7568549563142049,0.7697670391966733,0.77141444637792,0.7396200003961249,0.6751957355977329,0.8042361664102797,0.7443631395771231,0.7761214022686391,0.6775046786672254,0.7655783349545211,0.7415143498363488,0.7979409742195449,0.7817987663220973,0.7483134682208938,0.8099107988249894,0.7560309508557217,0.8347609933337186,0.768991822435583,0.8440229288448531,0.7209035347108346,0.6668214702490289,0.7144457875121257,0.9012077235236355,0.8277858148398194,0.8681652646495442
cgSYNK00006,0.029891617068668302,0.05122690384415632,0.07381218116745875,0.11440980013676583,0.062449035777190964,0.022737335303879447,0.03321532488069939,0.12408703544455829,0.005,0.005,0.06362711554370584,0.005,0.058054208284217396,0.04087786091044117,0.03422108976427672,0.026392905644838843,0.09977759135777536,0.061549185271764534,0.028241449948991984,0.1140801058112168,0.15610113287751817,0.16133287391141074,0.030882749101468182,0.06760633698109114,0.08932718427438816,0.12147422120636553,0.08047937298675205,0.12317804883975299
cgSYNK00007,0.5377444249770382,0.4976868141026733,0.5374514782393629,0.5573199446773458,0.5113434297276329,0.50584736282547,0.4979449029996916,0.530479113387251,0.5271427139324117,0.5680820307976017,0.41479402019352235,0.5304010720085902,0.4264250752745427,0.5400583392980597,0.4624425453653354,0.5514804552450329,0.5909180274506236,0.5462367021756982,0.5133312132916741,0.634098465166007,0.482878682678552,0.4147074789996344,0.517573671997721,0.5913776830653577,0.538152050795554,0.5339315890773282,0.5756081876258106,0.5873300802166641
cgSYNK00008,0.40202681455686584,0.3962949394292806,0.42592039111544466,0.4750739977234284,0.41385188931808725,0.4003532137477477,0.44063680939915806,0.5552986586270989,0.36705882703467463,0.3946029605425877,0.4433667564785908,0.4225668245709928,0.33132236794539494,0.3927351024001168,0.33168840032546465,0.39366705266465496,0.38165827696945565,0.33145404538571244,0.3518733692408673,0.3536430115589434,0.5267999321943467,0.4292497777630715,0.4383593784319705,0.2733746143649992,0.4726847208288819,0.4529889604885967,0.4863862726855142,0.5159033966456953
cgSYNK00009,0.24162903337014574,0.3132293338528201,0.2929361293493354,0.31693190731899823,0.12714874581867347,0.28103956919738293,0.19599839431973348,0.17045708988908087,0.2372727799864887,0.21176713860203428,0.2527060344125679,0.22788325766343648,0.20870153450973283,0.3236747366807122,0.20497602985187585,0.2850558356172874,0.1292499015657916,0.2649822662571803,0.33483230258841895,0.27037051486851904,0.24787577026772323,0.2830746354760224,0.17456156926457972,0.205209337695285,0.17731912777332343,0.2949631235224116,0.2544112519928477,0.3668197499373591
cgSYNK00010,0.45380997140699997,0.3290266269607924,0.4144343249734136,0.379850545718907,0.3792563013863863,0.3637007718844714,0.29160605771112613,0.46179043844795875,0.36079269587837504,0.3099598880113145,0.3903676282911298,0.42756949866759364,0.466987224697892,0.40864216067877435,0.320366853114104,0.34654603901781356,0.359819390295127,0.3462509262973173,0.5678651191243517,0.4110225070333081,0.32903153003544,0.2910429043998485,0.42097915414294074,0.4563714316467292,0.4022340155343227,0.4297640513146718,0.4664538535766797,0.6131489948649598
