probe,delta_beta,gene,region,promoter,abs10
cgSYN000001,-0.0723118393802592,CDKN2A,Body,False,False
cgSYN000002,-0.12687067058425333,CDKN2A,5'UTR,True,True
cgSYN000003,-0.0869087489763309,CDKN2A,Body,False,False
cgSYN000004,-0.147941099198164,CDKN2A,Body,False,True
cgSYN000005,-0.046745554081696394,CDKN2A,Body,False,False
cgSYN000006,-0.09916685515288348,CDKN2A,1stExon,True,False
cgSYN000007,-0.12582984592096885,CDKN2A,Body,False,True
cgSYN000008,-0.10236484956823716,CDKN2A,Body,False,True
cgSYN000009,-0.1092706628319452,CDKN2A,TSS200,True,True
cgSYN000010,-0.17579257454380975,CDKN2A,TSS1500,True,True
cgSYN000011,-0.05835563690360657,CDKN2A,TSS1500,True,False
cgSYN000012,-0.10202345076833313,CDKN2A,TSS1500,True,True
cgSYN000013,-0.1476176830392602,CDKN2A,TSS200,True,True
cgSYN000014,-0.08594060301056317,CDKN2A,Body,False,False
cgSYN000015,-0.10838784626716069,CDKN2A,TSS1500,True,True
cgSYN000016,-0.12717931836556556,CDKN2A,Body,False,True
cgSYN000017,-0.10323402937502835,CDKN2A,Body,False,True
cgSYN000018,-0.11864850913628466,CDKN2A,Body,False,True
cgSYN000019,-0.07033687532906041,CDKN2A,TSS1500,True,False
cgSYN000020,-0.08961971288719517,CDKN2A,5'UTR,True,False
cgSYN000021,-0.11577689912796033,CDKN2A,TSS200,True,True
cgSYN000022,-0.12796677605770926,CDKN2A,Body,False,True
cgSYN000023,0.00278442073348123,CDKN2B,TSS200,True,False
cgSYN000024,0.09379030825194672,CDKN2B,TSS200,True,False
cgSYN000025,0.027851146099808155,CDKN2B,Body,False,False
cgSYN000026,0.06799508457431797,CDKN2B,1stExon,True,False
cgSYN000027,0.022240697250331398,CDKN2B,Body,False,False
cgSYN000028,0.02890571932878372,CDKN2B,Body,False,False
cgSYN000029,-0.024850212938714478,CDKN2B,1stExon,True,False
cgSYN000030,0.0011302406318362268,CDKN2B,Body,False,False
cgSYN000031,-0.02072397517760094,CDKN2B,5'UTR,True,False
cgSYN000032,0.058750113540114474,CDKN2B,TSS200,True,False
cgSYN000033,-0.000937716111175102,CDKN2B,TSS1500,True,False
cgSYN000034,-0.06340038134377046,CDKN2B,5'UTR,True,False
cgSYN000035,0.03878470260916567,CDH1,5'UTR,True,False
cgSYN000036,-0.13037581604927773,CDH1,5'UTR,True,True
cgSYN000037,-0.011722466478086974,CDH1,TSS1500,True,False
cgSYN000038,-0.019577866205527428,CDH1,1stExon,True,False
cgSYN000039,0.0023916631335040295,CDH1,TSS200,True,False
cgSYN000040,0.021409972669134192,CDH1,Body,False,False
cgSYN000041,-0.09888928400366492,CDH1,TSS200,True,False
cgSYN000042,-0.04014735495349214,CDH1,Body,False,False
cgSYN000043,0.06709526045581515,CDH1,1stExon,True,False
cgSYN000044,-0.04826682062834431,CDH1,TSS200,True,False
cgSYN000045,0.004891894308383993,CDH1,TSS200,True,False
cgSYN000046,-0.16325340841318486,CDH1,TSS1500,True,True
cgSYN000047,-0.02902280683223374,MGMT,TSS1500,True,False
cgSYN000048,-0.05761419976965898,MGMT,TSS200,True,False
cgSYN000049,-0.06091205416067924,MGMT,TSS200,True,False
cgSYN000050,0.011232213967233284,MGMT,5'UTR,True,False
cgSYN000051,0.05688426659433127,MGMT,TSS200,True,False
cgSYN000052,0.039254045352084876,MGMT,Body,False,False
cgSYN000053,0.01816995736077953,MGMT,TSS1500,True,False
cgSYN000054,0.03867483419057771,MGMT,5'UTR,True,False
cgSYN000055,0.03766006127006044,MGMT,TSS200,True,False
cgSYN000056,0.00836647443700711,MGMT,Body,False,False
cgSYN000057,-0.02675908965716034,MGMT,Body,False,False
cgSYN000058,0.03129503465005534,MGMT,Body,False,False
cgSYN000059,-0.013279702727135856,PAX1,5'UTR,True,False
cgSYN000060,-0.00807742531136632,PAX1,TSS1500,True,False
cgSYN000061,0.06645831518645479,PAX1,Body,False,False
cgSYN000062,0.09595287099496086,PAX1,5'UTR,True,False
cgSYN000063,0.010098785926485498,PAX1,5'UTR,True,False
